# source, target, time
0,31,54760
0,31,54780
0,43,54860
0,43,54940
0,106,55020
0,2,55220
0,29,62440
0,29,62460
0,56,62460
0,108,62460
0,106,62860
0,31,62860
0,106,62880
0,58,62880
0,68,62900
0,10,62960
0,58,62960
0,50,63040
0,50,63060
0,108,63060
0,56,63100
0,30,63120
0,70,70200
0,42,70240
0,54,70240
0,32,70240
0,32,70260
0,31,70260
0,32,70280
0,31,70280
0,31,70300
0,31,70320
0,56,73600
0,11,73600
0,100,73660
0,100,73680
0,100,73700
0,100,73720
0,100,73840
0,100,73880
0,100,73900
0,100,73920
0,78,74000
0,15,74000
0,78,74020
0,15,74020
0,10,74060
0,10,74080
0,10,74100
0,78,74100
0,10,74120
0,94,74140
0,42,74160
0,10,74160
0,1,74180
0,10,74180
0,10,74200
0,11,74200
0,1,74220
0,10,74220
0,50,74220
0,11,74220
0,1,74240
0,77,74240
0,11,74240
0,1,74260
0,11,74260
0,1,74280
0,100,74280
0,11,74280
0,78,74280
0,11,74300
0,82,74300
0,78,74320
0,77,74340
0,78,74340
0,82,74340
0,77,74360
0,11,74360
0,78,74360
0,11,74380
0,82,74380
0,11,74400
0,78,74400
0,78,74420
0,68,74440
0,68,74460
0,50,74520
0,68,74540
0,50,74540
0,70,74560
0,100,74920
0,50,74940
0,42,75000
0,10,75040
0,78,75040
0,106,75060
0,10,75100
0,10,75120
0,10,75140
0,10,75160
0,10,75180
0,10,75200
0,10,75220
0,10,75240
0,11,75280
0,31,75300
0,11,75360
0,106,75420
0,29,75440
0,30,75460
0,30,75480
0,117,75500
0,69,75520
0,42,75640
0,43,75680
0,43,75700
0,43,75720
0,43,75740
0,43,75760
0,43,75780
0,43,75800
0,43,75820
0,43,75840
0,43,75880
0,43,75940
0,43,75960
0,43,76020
0,43,76040
0,43,76060
0,43,76080
0,43,76120
0,43,76140
0,43,76160
0,43,76180
0,43,76260
0,43,76280
0,43,76380
0,43,76400
0,43,76420
0,43,76660
0,43,76680
0,43,76820
0,106,76900
0,106,76920
0,43,76920
0,106,76940
0,43,77020
0,43,77040
0,106,77320
0,106,77480
0,106,77640
0,106,77680
0,106,77700
0,106,77740
0,106,77780
0,106,81540
0,106,81560
0,106,81580
0,106,81600
0,106,81620
0,106,81640
0,106,81660
0,106,81700
0,106,81760
0,106,81780
0,106,81800
0,106,81820
0,106,81840
0,106,81860
0,106,81880
0,106,81900
0,106,81920
0,106,81940
0,106,81960
0,106,81980
0,106,82000
0,106,82080
0,106,82100
0,106,82120
0,106,82140
0,106,82160
0,106,82180
0,106,82200
0,106,82220
0,106,82240
0,106,82260
0,106,82280
